,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
588327,2020-01-20,Gyeongsangbuk-do,Andong,All,50,0,0,0.0,0.0,0.0,0.0
588299,2020-01-20,Gyeonggi-do,Ansan,All,50,0,0,0.0,0.0,0.0,0.0
588300,2020-01-20,Gyeonggi-do,Anseong,All,50,0,0,0.0,0.0,0.0,0.0
588301,2020-01-20,Gyeonggi-do,Anyang,All,50,0,0,0.0,0.0,0.0,0.0
588262,2020-01-20,Chungcheongnam-do,Asan,All,50,0,0,0.0,0.0,0.0,0.0
588328,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,50,0,0,0.0,0.0,0.0,0.0
588302,2020-01-20,Gyeonggi-do,Bucheon,All,50,0,0,0.0,0.0,0.0,0.0
588240,2020-01-20,Busan,Buk,All,50,0,0,0.0,0.0,0.0,0.0
588278,2020-01-20,Daegu,Buk,All,50,0,0,0.0,0.0,0.0,0.0
588295,2020-01-20,Gwangju,Buk,All,50,0,0,0.0,0.0,0.0,0.0
588407,2020-01-20,Ulsan,Buk,All,50,0,0,0.0,0.0,0.0,0.0
588361,2020-01-20,Incheon,Bupyeong,All,50,0,0,0.0,0.0,0.0,0.0
588241,2020-01-20,Busan,Busanjin,All,50,0,0,0.0,0.0,0.0,0.0
588263,2020-01-20,Chungcheongnam-do,Buyeo,All,50,0,0,0.0,0.0,0.0,0.0
588346,2020-01-20,Gyeongsangnam-do,Changnyeong,All,50,0,0,0.0,0.0,0.0,0.0
588347,2020-01-20,Gyeongsangnam-do,Changwon,All,50,0,0,0.0,0.0,0.0,0.0
588264,2020-01-20,Chungcheongnam-do,Cheonan,All,50,0,0,0.0,0.0,0.0,0.0
588329,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,50,0,0,0.0,0.0,0.0,0.0
588255,2020-01-20,Chungcheongbuk-do,Cheongju,All,50,0,0,0.0,0.0,0.0,0.0
588330,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,50,0,0,0.0,0.0,0.0,0.0
588284,2020-01-20,Gangwon-do,Cheorwon,All,50,0,0,0.0,0.0,0.0,0.0
588331,2020-01-20,Gyeongsangbuk-do,Chilgok,All,50,0,0,0.0,0.0,0.0,0.0
588285,2020-01-20,Gangwon-do,Chuncheon,All,50,0,0,0.0,0.0,0.0,0.0
588256,2020-01-20,Chungcheongbuk-do,Chungju,All,50,0,0,0.0,0.0,0.0,0.0
588279,2020-01-20,Daejeon,Daedeok,All,50,0,0,0.0,0.0,0.0,0.0
588271,2020-01-20,Daegu,Dalseo,All,50,0,0,0.0,0.0,0.0,0.0
588272,2020-01-20,Daegu,Dalseong,All,50,0,0,0.0,0.0,0.0,0.0
588257,2020-01-20,Chungcheongbuk-do,Danyang,All,50,0,0,0.0,0.0,0.0,0.0
588382,2020-01-20,Seoul,Dobong,All,50,0,0,0.0,0.0,0.0,0.0
588242,2020-01-20,Busan,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588273,2020-01-20,Daegu,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588280,2020-01-20,Daejeon,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588296,2020-01-20,Gwangju,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588362,2020-01-20,Incheon,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588408,2020-01-20,Ulsan,Dong,All,50,0,0,0.0,0.0,0.0,0.0
588383,2020-01-20,Seoul,Dongdaemun,All,50,0,0,0.0,0.0,0.0,0.0
588303,2020-01-20,Gyeonggi-do,Dongducheon,All,50,0,0,0.0,0.0,0.0,0.0
588384,2020-01-20,Seoul,Dongjak,All,50,0,0,0.0,0.0,0.0,0.0
588243,2020-01-20,Busan,Dongnae,All,50,0,0,0.0,0.0,0.0,0.0
588258,2020-01-20,Chungcheongbuk-do,Eumseong,All,50,0,0,0.0,0.0,0.0,0.0
588385,2020-01-20,Seoul,Eunpyeong,All,50,0,0,0.0,0.0,0.0,0.0
588386,2020-01-20,Seoul,Gangbuk,All,50,0,0,0.0,0.0,0.0,0.0
588387,2020-01-20,Seoul,Gangdong,All,50,0,0,0.0,0.0,0.0,0.0
588363,2020-01-20,Incheon,Ganghwa,All,50,0,0,0.0,0.0,0.0,0.0
588388,2020-01-20,Seoul,Gangnam,All,50,0,0,0.0,0.0,0.0,0.0
588286,2020-01-20,Gangwon-do,Gangneung,All,50,0,0,0.0,0.0,0.0,0.0
588244,2020-01-20,Busan,Gangseo,All,50,0,0,0.0,0.0,0.0,0.0
588389,2020-01-20,Seoul,Gangseo,All,50,0,0,0.0,0.0,0.0,0.0
588304,2020-01-20,Gyeonggi-do,Gapyeong,All,50,0,0,0.0,0.0,0.0,0.0
