,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
431463,2020-01-20,Gyeongsangbuk-do,Andong,All,All,0,0,0.0,0.0,0.0,0.0
431435,2020-01-20,Gyeonggi-do,Ansan,All,All,0,0,0.0,0.0,0.0,0.0
431436,2020-01-20,Gyeonggi-do,Anseong,All,All,0,0,0.0,0.0,0.0,0.0
431437,2020-01-20,Gyeonggi-do,Anyang,All,All,0,0,0.0,0.0,0.0,0.0
431398,2020-01-20,Chungcheongnam-do,Asan,All,All,0,0,0.0,0.0,0.0,0.0
431464,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,All,0,0,0.0,0.0,0.0,0.0
431438,2020-01-20,Gyeonggi-do,Bucheon,All,All,0,0,0.0,0.0,0.0,0.0
431376,2020-01-20,Busan,Buk,All,All,0,0,0.0,0.0,0.0,0.0
431414,2020-01-20,Daegu,Buk,All,All,0,0,0.0,0.0,0.0,0.0
431431,2020-01-20,Gwangju,Buk,All,All,0,0,0.0,0.0,0.0,0.0
431543,2020-01-20,Ulsan,Buk,All,All,0,0,0.0,0.0,0.0,0.0
431497,2020-01-20,Incheon,Bupyeong,All,All,0,0,0.0,0.0,0.0,0.0
431377,2020-01-20,Busan,Busanjin,All,All,0,0,0.0,0.0,0.0,0.0
431399,2020-01-20,Chungcheongnam-do,Buyeo,All,All,0,0,0.0,0.0,0.0,0.0
431482,2020-01-20,Gyeongsangnam-do,Changnyeong,All,All,0,0,0.0,0.0,0.0,0.0
431483,2020-01-20,Gyeongsangnam-do,Changwon,All,All,0,0,0.0,0.0,0.0,0.0
431400,2020-01-20,Chungcheongnam-do,Cheonan,All,All,0,0,0.0,0.0,0.0,0.0
431465,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,All,0,0,0.0,0.0,0.0,0.0
431391,2020-01-20,Chungcheongbuk-do,Cheongju,All,All,0,0,0.0,0.0,0.0,0.0
431466,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,All,0,0,0.0,0.0,0.0,0.0
431420,2020-01-20,Gangwon-do,Cheorwon,All,All,0,0,0.0,0.0,0.0,0.0
431467,2020-01-20,Gyeongsangbuk-do,Chilgok,All,All,0,0,0.0,0.0,0.0,0.0
431421,2020-01-20,Gangwon-do,Chuncheon,All,All,0,0,0.0,0.0,0.0,0.0
431392,2020-01-20,Chungcheongbuk-do,Chungju,All,All,0,0,0.0,0.0,0.0,0.0
431415,2020-01-20,Daejeon,Daedeok,All,All,0,0,0.0,0.0,0.0,0.0
431407,2020-01-20,Daegu,Dalseo,All,All,0,0,0.0,0.0,0.0,0.0
431408,2020-01-20,Daegu,Dalseong,All,All,0,0,0.0,0.0,0.0,0.0
431393,2020-01-20,Chungcheongbuk-do,Danyang,All,All,0,0,0.0,0.0,0.0,0.0
431518,2020-01-20,Seoul,Dobong,All,All,0,0,0.0,0.0,0.0,0.0
431378,2020-01-20,Busan,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431409,2020-01-20,Daegu,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431416,2020-01-20,Daejeon,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431432,2020-01-20,Gwangju,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431498,2020-01-20,Incheon,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431544,2020-01-20,Ulsan,Dong,All,All,0,0,0.0,0.0,0.0,0.0
431519,2020-01-20,Seoul,Dongdaemun,All,All,0,0,0.0,0.0,0.0,0.0
431439,2020-01-20,Gyeonggi-do,Dongducheon,All,All,0,0,0.0,0.0,0.0,0.0
431520,2020-01-20,Seoul,Dongjak,All,All,0,0,0.0,0.0,0.0,0.0
431379,2020-01-20,Busan,Dongnae,All,All,0,0,0.0,0.0,0.0,0.0
431394,2020-01-20,Chungcheongbuk-do,Eumseong,All,All,0,0,0.0,0.0,0.0,0.0
431521,2020-01-20,Seoul,Eunpyeong,All,All,0,0,0.0,0.0,0.0,0.0
431522,2020-01-20,Seoul,Gangbuk,All,All,0,0,0.0,0.0,0.0,0.0
431523,2020-01-20,Seoul,Gangdong,All,All,0,0,0.0,0.0,0.0,0.0
431499,2020-01-20,Incheon,Ganghwa,All,All,0,0,0.0,0.0,0.0,0.0
431524,2020-01-20,Seoul,Gangnam,All,All,0,0,0.0,0.0,0.0,0.0
431422,2020-01-20,Gangwon-do,Gangneung,All,All,0,0,0.0,0.0,0.0,0.0
431380,2020-01-20,Busan,Gangseo,All,All,0,0,0.0,0.0,0.0,0.0
431525,2020-01-20,Seoul,Gangseo,All,All,0,0,0.0,0.0,0.0,0.0
431440,2020-01-20,Gyeonggi-do,Gapyeong,All,All,0,0,0.0,0.0,0.0,0.0
431484,2020-01-20,Gyeongsangnam-do,Geochang,All,All,0,0,0.0,0.0,0.0,0.0
431485,2020-01-20,Gyeongsangnam-do,Geoje,All,All,0,0,0.0,0.0,0.0,0.0
431526,2020-01-20,Seoul,Geumcheon,All,All,0,0,0.0,0.0,0.0,0.0
431381,2020-01-20,Busan,Geumjeong,All,All,0,0,0.0,0.0,0.0,0.0
431382,2020-01-20,Busan,Gijang,All,All,0,0,0.0,0.0,0.0,0.0
431468,2020-01-20,Gyeongsangbuk-do,Gimcheon,All,All,0,0,0.0,0.0,0.0,0.0
431486,2020-01-20,Gyeongsangnam-do,Gimhae,All,All,0,0,0.0,0.0,0.0,0.0
431507,2020-01-20,Jeollabuk-do,Gimje,All,All,0,0,0.0,0.0,0.0,0.0
431441,2020-01-20,Gyeonggi-do,Gimpo,All,All,0,0,0.0,0.0,0.0,0.0
431395,2020-01-20,Chungcheongbuk-do,Goesan,All,All,0,0,0.0,0.0,0.0,0.0
431469,2020-01-20,Gyeongsangbuk-do,Goryeong,All,All,0,0,0.0,0.0,0.0,0.0
431430,2020-01-20,Gangwon-do,Goseong,All,All,0,0,0.0,0.0,0.0,0.0
431487,2020-01-20,Gyeongsangnam-do,Goseong,All,All,0,0,0.0,0.0,0.0,0.0
431442,2020-01-20,Gyeonggi-do,Goyang,All,All,0,0,0.0,0.0,0.0,0.0
431470,2020-01-20,Gyeongsangbuk-do,Gumi,All,All,0,0,0.0,0.0,0.0,0.0
431443,2020-01-20,Gyeonggi-do,Gunpo,All,All,0,0,0.0,0.0,0.0,0.0
431508,2020-01-20,Jeollabuk-do,Gunsan,All,All,0,0,0.0,0.0,0.0,0.0
431444,2020-01-20,Gyeonggi-do,Guri,All,All,0,0,0.0,0.0,0.0,0.0
431527,2020-01-20,Seoul,Guro,All,All,0,0,0.0,0.0,0.0,0.0
431445,2020-01-20,Gyeonggi-do,Gwacheon,All,All,0,0,0.0,0.0,0.0,0.0
431528,2020-01-20,Seoul,Gwanak,All,All,0,0,0.0,0.0,0.0,0.0
431529,2020-01-20,Seoul,Gwangjin,All,All,0,0,0.0,0.0,0.0,0.0
431446,2020-01-20,Gyeonggi-do,Gwangju,All,All,0,0,0.0,0.0,0.0,0.0
431447,2020-01-20,Gyeonggi-do,Gwangmyeong,All,All,0,0,0.0,0.0,0.0,0.0
431512,2020-01-20,Jeollanam-do,Gwangyang,All,All,0,0,0.0,0.0,0.0,0.0
431471,2020-01-20,Gyeongsangbuk-do,Gyeongju,All,All,0,0,0.0,0.0,0.0,0.0
431472,2020-01-20,Gyeongsangbuk-do,Gyeongsan,All,All,0,0,0.0,0.0,0.0,0.0
431401,2020-01-20,Chungcheongnam-do,Gyeryong,All,All,0,0,0.0,0.0,0.0,0.0
431500,2020-01-20,Incheon,Gyeyang,All,All,0,0,0.0,0.0,0.0,0.0
431383,2020-01-20,Busan,Haeundae,All,All,0,0,0.0,0.0,0.0,0.0
431488,2020-01-20,Gyeongsangnam-do,Haman,All,All,0,0,0.0,0.0,0.0,0.0
431489,2020-01-20,Gyeongsangnam-do,Hamyang,All,All,0,0,0.0,0.0,0.0,0.0
431448,2020-01-20,Gyeonggi-do,Hanam,All,All,0,0,0.0,0.0,0.0,0.0
431490,2020-01-20,Gyeongsangnam-do,Hapcheon,All,All,0,0,0.0,0.0,0.0,0.0
431423,2020-01-20,Gangwon-do,Hoengseong,All,All,0,0,0.0,0.0,0.0,0.0
431402,2020-01-20,Chungcheongnam-do,Hongseong,All,All,0,0,0.0,0.0,0.0,0.0
431449,2020-01-20,Gyeonggi-do,Hwaseong,All,All,0,0,0.0,0.0,0.0,0.0
431513,2020-01-20,Jeollanam-do,Hwasun,All,All,0,0,0.0,0.0,0.0,0.0
431450,2020-01-20,Gyeonggi-do,Icheon,All,All,0,0,0.0,0.0,0.0,0.0
431509,2020-01-20,Jeollabuk-do,Iksan,All,All,0,0,0.0,0.0,0.0,0.0
431424,2020-01-20,Gangwon-do,Inje,All,All,0,0,0.0,0.0,0.0,0.0
431510,2020-01-20,Jeollabuk-do,Jangsu,All,All,0,0,0.0,0.0,0.0,0.0
431506,2020-01-20,Jeju,Jeju,All,All,0,0,0.0,0.0,0.0,0.0
431511,2020-01-20,Jeollabuk-do,Jeonju,All,All,0,0,0.0,0.0,0.0,0.0
431396,2020-01-20,Chungcheongbuk-do,Jeungpyeong,All,All,0,0,0.0,0.0,0.0,0.0
431397,2020-01-20,Chungcheongbuk-do,Jincheon,All,All,0,0,0.0,0.0,0.0,0.0
431491,2020-01-20,Gyeongsangnam-do,Jinju,All,All,0,0,0.0,0.0,0.0,0.0
431530,2020-01-20,Seoul,Jongno,All,All,0,0,0.0,0.0,0.0,0.0
431390,2020-01-20,Busan,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431410,2020-01-20,Daegu,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431417,2020-01-20,Daejeon,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431501,2020-01-20,Incheon,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431531,2020-01-20,Seoul,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431545,2020-01-20,Ulsan,Jung,All,All,0,0,0.0,0.0,0.0,0.0
431532,2020-01-20,Seoul,Jungnang,All,All,0,0,0.0,0.0,0.0,0.0
431533,2020-01-20,Seoul,Mapo,All,All,0,0,0.0,0.0,0.0,0.0
431502,2020-01-20,Incheon,Michuhol,All,All,0,0,0.0,0.0,0.0,0.0
431492,2020-01-20,Gyeongsangnam-do,Miryang,All,All,0,0,0.0,0.0,0.0,0.0
431514,2020-01-20,Jeollanam-do,Mokpo,All,All,0,0,0.0,0.0,0.0,0.0
431515,2020-01-20,Jeollanam-do,Muan,All,All,0,0,0.0,0.0,0.0,0.0
431473,2020-01-20,Gyeongsangbuk-do,Mungyeong,All,All,0,0,0.0,0.0,0.0,0.0
431384,2020-01-20,Busan,Nam,All,All,0,0,0.0,0.0,0.0,0.0
431411,2020-01-20,Daegu,Nam,All,All,0,0,0.0,0.0,0.0,0.0
431433,2020-01-20,Gwangju,Nam,All,All,0,0,0.0,0.0,0.0,0.0
431546,2020-01-20,Ulsan,Nam,All,All,0,0,0.0,0.0,0.0,0.0
