,date,age,confirmed,deceased
0,2020-03-02,0s,32,0
1,2020-03-02,10s,169,0
2,2020-03-02,20s,1235,0
3,2020-03-02,30s,506,1
4,2020-03-02,40s,633,1
5,2020-03-02,50s,834,5
6,2020-03-02,60s,530,6
7,2020-03-02,70s,192,6
8,2020-03-02,80s,81,3
9,2020-03-03,0s,34,0
10,2020-03-03,10s,204,0
11,2020-03-03,20s,1417,0
12,2020-03-03,30s,578,1
13,2020-03-03,40s,713,1
14,2020-03-03,50s,952,5
15,2020-03-03,60s,597,7
16,2020-03-03,70s,224,9
17,2020-03-03,80s,93,5
18,2020-03-04,0s,34,0
19,2020-03-04,10s,233,0
20,2020-03-04,20s,1575,0
21,2020-03-04,30s,631,1
22,2020-03-04,40s,790,1
23,2020-03-04,50s,1051,5
24,2020-03-04,60s,646,7
25,2020-03-04,70s,260,12
26,2020-03-04,80s,108,6
27,2020-03-05,0s,38,0
28,2020-03-05,10s,257,0
29,2020-03-05,20s,1727,0
30,2020-03-05,30s,659,1
31,2020-03-05,40s,847,1
32,2020-03-05,50s,1127,5
33,2020-03-05,60s,699,8
34,2020-03-05,70s,288,13
35,2020-03-05,80s,124,7
36,2020-03-06,0s,45,0
37,2020-03-06,10s,292,0
38,2020-03-06,20s,1877,0
39,2020-03-06,30s,693,1
40,2020-03-06,40s,889,1
41,2020-03-06,50s,1217,5
42,2020-03-06,60s,763,11
43,2020-03-06,70s,340,14
44,2020-03-06,80s,168,10
45,2020-03-07,0s,52,0
46,2020-03-07,10s,327,0
47,2020-03-07,20s,2038,0
48,2020-03-07,30s,727,1
49,2020-03-07,40s,941,1
50,2020-03-07,50s,1287,5
51,2020-03-07,60s,830,11
52,2020-03-07,70s,384,14
53,2020-03-07,80s,191,12
54,2020-03-08,0s,58,0
55,2020-03-08,10s,360,0
56,2020-03-08,20s,2133,0
57,2020-03-08,30s,760,1
58,2020-03-08,40s,975,1
59,2020-03-08,50s,1349,5
60,2020-03-08,60s,878,11
61,2020-03-08,70s,409,18
62,2020-03-08,80s,212,14
63,2020-03-09,0s,66,0
64,2020-03-09,10s,381,0
65,2020-03-09,20s,2190,0
66,2020-03-09,30s,779,1
67,2020-03-09,40s,1005,1
68,2020-03-09,50s,1391,5
69,2020-03-09,60s,916,12
70,2020-03-09,70s,438,18
71,2020-03-09,80s,216,14
72,2020-03-10,0s,67,0
73,2020-03-10,10s,393,0
74,2020-03-10,20s,2213,0
75,2020-03-10,30s,789,1
76,2020-03-10,40s,1030,1
77,2020-03-10,50s,1416,5
78,2020-03-10,60s,929,13
79,2020-03-10,70s,454,19
80,2020-03-10,80s,222,15
81,2020-03-11,0s,75,0
82,2020-03-11,10s,405,0
83,2020-03-11,20s,2238,0
84,2020-03-11,30s,804,1
85,2020-03-11,40s,1082,1
86,2020-03-11,50s,1472,6
87,2020-03-11,60s,960,14
88,2020-03-11,70s,483,21
89,2020-03-11,80s,236,17
90,2020-03-12,0s,76,0
91,2020-03-12,10s,412,0
92,2020-03-12,20s,2261,0
93,2020-03-12,30s,812,1
94,2020-03-12,40s,1101,1
95,2020-03-12,50s,1495,6
96,2020-03-12,60s,972,14
97,2020-03-12,70s,497,24
98,2020-03-12,80s,243,20
99,2020-03-13,0s,77,0
100,2020-03-13,10s,421,0
101,2020-03-13,20s,2274,0
102,2020-03-13,30s,823,1
103,2020-03-13,40s,1117,1
104,2020-03-13,50s,1523,6
105,2020-03-13,60s,985,14
106,2020-03-13,70s,506,24
107,2020-03-13,80s,253,21
108,2020-03-14,0s,81,0
109,2020-03-14,10s,424,0
110,2020-03-14,20s,2287,0
111,2020-03-14,30s,833,1
112,2020-03-14,40s,1133,1
113,2020-03-14,50s,1551,6
114,2020-03-14,60s,999,14
115,2020-03-14,70s,515,27
116,2020-03-14,80s,263,23
117,2020-03-15,0s,83,0
118,2020-03-15,10s,427,0
119,2020-03-15,20s,2301,0
120,2020-03-15,30s,842,1
121,2020-03-15,40s,1141,1
122,2020-03-15,50s,1568,6
123,2020-03-15,60s,1012,14
124,2020-03-15,70s,525,28
125,2020-03-15,80s,263,25
126,2020-03-16,0s,85,0
127,2020-03-16,10s,432,0
128,2020-03-16,20s,2313,0
129,2020-03-16,30s,849,1
130,2020-03-16,40s,1147,1
131,2020-03-16,50s,1585,6
132,2020-03-16,60s,1024,14
133,2020-03-16,70s,531,28
134,2020-03-16,80s,270,25
135,2020-03-17,0s,86,0
136,2020-03-17,10s,436,0
137,2020-03-17,20s,2330,0
138,2020-03-17,30s,856,1
139,2020-03-17,40s,1164,1
140,2020-03-17,50s,1602,6
141,2020-03-17,60s,1033,16
142,2020-03-17,70s,539,29
143,2020-03-17,80s,274,28
144,2020-03-18,0s,87,0
145,2020-03-18,10s,438,0
146,2020-03-18,20s,2342,0
147,2020-03-18,30s,873,1
148,2020-03-18,40s,1171,1
149,2020-03-18,50s,1615,6
150,2020-03-18,60s,1059,16
151,2020-03-18,70s,542,29
152,2020-03-18,80s,286,31
153,2020-03-19,0s,91,0
154,2020-03-19,10s,444,0
155,2020-03-19,20s,2358,0
156,2020-03-19,30s,886,1
157,2020-03-19,40s,1181,1
158,2020-03-19,50s,1642,7
159,2020-03-19,60s,1080,17
160,2020-03-19,70s,562,34
161,2020-03-19,80s,321,31
162,2020-03-20,0s,97,0
163,2020-03-20,10s,452,0
164,2020-03-20,20s,2365,0
165,2020-03-20,30s,893,1
166,2020-03-20,40s,1193,1
167,2020-03-20,50s,1656,7
168,2020-03-20,60s,1099,17
169,2020-03-20,70s,568,35
170,2020-03-20,80s,329,33
171,2020-03-21,0s,99,0
172,2020-03-21,10s,457,0
173,2020-03-21,20s,2380,0
174,2020-03-21,30s,900,1
175,2020-03-21,40s,1203,1
176,2020-03-21,50s,1672,7
177,2020-03-21,60s,1118,17
178,2020-03-21,70s,589,37
179,2020-03-21,80s,381,39
180,2020-03-22,0s,101,0
181,2020-03-22,10s,460,0
182,2020-03-22,20s,2396,0
183,2020-03-22,30s,909,1
184,2020-03-22,40s,1221,1
185,2020-03-22,50s,1691,7
186,2020-03-22,60s,1132,17
187,2020-03-22,70s,595,37
188,2020-03-22,80s,392,41
189,2020-03-23,0s,103,0
190,2020-03-23,10s,460,0
191,2020-03-23,20s,2417,0
192,2020-03-23,30s,917,1
193,2020-03-23,40s,1228,1
194,2020-03-23,50s,1702,7
195,2020-03-23,60s,1139,18
196,2020-03-23,70s,599,38
197,2020-03-23,80s,396,46
198,2020-03-24,0s,105,0
199,2020-03-24,10s,468,0
200,2020-03-24,20s,2438,0
201,2020-03-24,30s,921,1
202,2020-03-24,40s,1234,1
203,2020-03-24,50s,1716,8
204,2020-03-24,60s,1146,20
205,2020-03-24,70s,608,38
206,2020-03-24,80s,401,52
207,2020-03-25,0s,105,0
208,2020-03-25,10s,475,0
209,2020-03-25,20s,2473,0
210,2020-03-25,30s,943,1
211,2020-03-25,40s,1246,1
212,2020-03-25,50s,1724,10
213,2020-03-25,60s,1154,20
214,2020-03-25,70s,611,39
215,2020-03-25,80s,406,55
216,2020-03-26,0s,106,0
217,2020-03-26,10s,488,0
218,2020-03-26,20s,2508,0
219,2020-03-26,30s,955,1
220,2020-03-26,40s,1252,1
221,2020-03-26,50s,1738,10
222,2020-03-26,60s,1162,20
223,2020-03-26,70s,616,41
224,2020-03-26,80s,416,58
225,2020-03-27,0s,108,0
226,2020-03-27,10s,496,0
227,2020-03-27,20s,2532,0
228,2020-03-27,30s,960,1
229,2020-03-27,40s,1256,1
230,2020-03-27,50s,1752,10
231,2020-03-27,60s,1170,21
232,2020-03-27,70s,630,41
233,2020-03-27,80s,428,65
234,2020-03-28,0s,109,0
235,2020-03-28,10s,501,0
236,2020-03-28,20s,2567,0
237,2020-03-28,30s,978,1
238,2020-03-28,40s,1278,1
239,2020-03-28,50s,1780,10
240,2020-03-28,60s,1201,21
241,2020-03-28,70s,632,41
242,2020-03-28,80s,432,70
243,2020-03-29,0s,111,0
244,2020-03-29,10s,508,0
245,2020-03-29,20s,2602,0
246,2020-03-29,30s,993,1
247,2020-03-29,40s,1292,1
248,2020-03-29,50s,1798,10
249,2020-03-29,60s,1210,21
250,2020-03-29,70s,635,43
251,2020-03-29,80s,434,76
252,2020-03-30,0s,112,0
253,2020-03-30,10s,513,0
254,2020-03-30,20s,2630,0
255,2020-03-30,30s,1002,1
256,2020-03-30,40s,1297,1
257,2020-03-30,50s,1812,10
258,2020-03-30,60s,1218,21
259,2020-03-30,70s,640,45
260,2020-03-30,80s,437,80
261,2020-03-31,0s,112,0
262,2020-03-31,10s,515,0
263,2020-03-31,20s,2656,0
264,2020-03-31,30s,1012,1
265,2020-03-31,40s,1312,1
266,2020-03-31,50s,1851,10
267,2020-03-31,60s,1235,22
268,2020-03-31,70s,651,46
269,2020-03-31,80s,442,82
270,2020-04-01,0s,116,0
271,2020-04-01,10s,519,0
272,2020-04-01,20s,2682,0
273,2020-04-01,30s,1027,1
274,2020-04-01,40s,1323,1
275,2020-04-01,50s,1865,10
276,2020-04-01,60s,1245,23
277,2020-04-01,70s,658,46
278,2020-04-01,80s,452,84
279,2020-04-02,0s,119,0
280,2020-04-02,10s,522,0
281,2020-04-02,20s,2704,0
282,2020-04-02,30s,1043,1
