,date,sex,age,confirmed,deceased
0,2020-03-02,male,0,12,0
1,2020-03-02,male,10,63,0
2,2020-03-02,male,20,466,0
3,2020-03-02,male,30,191,0
4,2020-03-02,male,40,239,0
5,2020-03-02,male,50,315,2
6,2020-03-02,male,60,200,3
7,2020-03-02,male,70,72,3
8,2020-03-02,male,80,30,1
9,2020-03-02,female,0,19,0
10,2020-03-02,female,10,105,0
11,2020-03-02,female,20,768,0
12,2020-03-02,female,30,314,0
13,2020-03-02,female,40,393,0
14,2020-03-02,female,50,518,2
15,2020-03-02,female,60,329,2
16,2020-03-02,female,70,119,2
17,2020-03-02,female,80,50,1
18,2020-03-03,male,0,12,0
19,2020-03-03,male,10,76,0
20,2020-03-03,male,20,532,0
21,2020-03-03,male,30,217,0
22,2020-03-03,male,40,268,0
23,2020-03-03,male,50,358,2
24,2020-03-03,male,60,224,4
25,2020-03-03,male,70,84,5
26,2020-03-03,male,80,34,2
27,2020-03-03,female,0,21,0
28,2020-03-03,female,10,127,0
29,2020-03-03,female,20,884,0
30,2020-03-03,female,30,360,0
31,2020-03-03,female,40,444,0
32,2020-03-03,female,50,593,2
33,2020-03-03,female,60,372,3
34,2020-03-03,female,70,139,3
35,2020-03-03,female,80,58,2
36,2020-03-04,male,0,12,0
37,2020-03-04,male,10,87,0
38,2020-03-04,male,20,590,0
39,2020-03-04,male,30,236,0
40,2020-03-04,male,40,295,0
41,2020-03-04,male,50,393,3
42,2020-03-04,male,60,242,4
43,2020-03-04,male,70,97,7
44,2020-03-04,male,80,40,3
45,2020-03-04,female,0,21,0
46,2020-03-04,female,10,145,0
47,2020-03-04,female,20,984,0
48,2020-03-04,female,30,394,0
49,2020-03-04,female,40,494,0
50,2020-03-04,female,50,657,1
51,2020-03-04,female,60,403,2
52,2020-03-04,female,70,162,4
53,2020-03-04,female,80,67,2
54,2020-03-05,male,0,14,0
55,2020-03-05,male,10,95,0
56,2020-03-05,male,20,643,0
57,2020-03-05,male,30,245,0
58,2020-03-05,male,40,315,0
59,2020-03-05,male,50,420,3
60,2020-03-05,male,60,260,4
61,2020-03-05,male,70,107,7
62,2020-03-05,male,80,46,4
63,2020-03-05,female,0,23,0
64,2020-03-05,female,10,161,0
65,2020-03-05,female,20,1083,0
66,2020-03-05,female,30,413,0
67,2020-03-05,female,40,531,0
68,2020-03-05,female,50,706,2
69,2020-03-05,female,60,438,3
70,2020-03-05,female,70,180,5
71,2020-03-05,female,80,77,2
72,2020-03-06,male,0,16,0
73,2020-03-06,male,10,108,0
74,2020-03-06,male,20,700,0
75,2020-03-06,male,30,258,0
76,2020-03-06,male,40,331,0
77,2020-03-06,male,50,454,2
78,2020-03-06,male,60,284,6
79,2020-03-06,male,70,126,8
80,2020-03-06,male,80,62,5
81,2020-03-06,female,0,28,0
82,2020-03-06,female,10,183,0
83,2020-03-06,female,20,1176,0
84,2020-03-06,female,30,434,0
85,2020-03-06,female,40,557,0
86,2020-03-06,female,50,762,2
87,2020-03-06,female,60,478,4
88,2020-03-06,female,70,213,5
89,2020-03-06,female,80,105,4
90,2020-03-07,male,0,19,0
91,2020-03-07,male,10,121,0
92,2020-03-07,male,20,759,0
93,2020-03-07,male,30,270,0
94,2020-03-07,male,40,350,0
95,2020-03-07,male,50,479,2
96,2020-03-07,male,60,309,6
97,2020-03-07,male,70,143,8
98,2020-03-07,male,80,71,7
99,2020-03-07,female,0,32,0
100,2020-03-07,female,10,205,0
101,2020-03-07,female,20,1278,0
102,2020-03-07,female,30,456,0
103,2020-03-07,female,40,590,0
104,2020-03-07,female,50,807,2
105,2020-03-07,female,60,520,4
106,2020-03-07,female,70,240,5
107,2020-03-07,female,80,119,4
108,2020-03-08,male,0,21,0
109,2020-03-08,male,10,135,0
110,2020-03-08,male,20,805,0
111,2020-03-08,male,30,286,0
112,2020-03-08,male,40,368,0
113,2020-03-08,male,50,509,2
114,2020-03-08,male,60,331,6
115,2020-03-08,male,70,154,10
116,2020-03-08,male,80,80,8
117,2020-03-08,female,0,36,0
118,2020-03-08,female,10,224,0
119,2020-03-08,female,20,1327,0
120,2020-03-08,female,30,473,0
121,2020-03-08,female,40,606,0
122,2020-03-08,female,50,839,2
123,2020-03-08,female,60,546,4
124,2020-03-08,female,70,254,7
125,2020-03-08,female,80,131,5
126,2020-03-09,male,0,25,0
127,2020-03-09,male,10,144,0
128,2020-03-09,male,20,830,0
129,2020-03-09,male,30,295,0
130,2020-03-09,male,40,381,0
131,2020-03-09,male,50,527,3
132,2020-03-09,male,60,347,7
133,2020-03-09,male,70,166,10
134,2020-03-09,male,80,81,8
135,2020-03-09,female,0,40,0
136,2020-03-09,female,10,236,0
137,2020-03-09,female,20,1359,0
138,2020-03-09,female,30,483,0
139,2020-03-09,female,40,623,0
140,2020-03-09,female,50,863,1
141,2020-03-09,female,60,568,4
142,2020-03-09,female,70,271,7
143,2020-03-09,female,80,134,5
144,2020-03-10,male,0,25,0
145,2020-03-10,male,10,149,0
146,2020-03-10,male,20,840,0
147,2020-03-10,male,30,299,0
148,2020-03-10,male,40,390,0
149,2020-03-10,male,50,537,3
150,2020-03-10,male,60,352,7
151,2020-03-10,male,70,172,11
152,2020-03-10,male,80,84,9
153,2020-03-10,female,0,41,0
154,2020-03-10,female,10,243,0
155,2020-03-10,female,20,1372,0
156,2020-03-10,female,30,489,0
157,2020-03-10,female,40,639,0
158,2020-03-10,female,50,878,1
159,2020-03-10,female,60,576,5
160,2020-03-10,female,70,281,7
161,2020-03-10,female,80,137,5
162,2020-03-11,male,0,28,0
163,2020-03-11,male,10,153,0
164,2020-03-11,male,20,850,0
165,2020-03-11,male,30,305,0
166,2020-03-11,male,40,411,0
167,2020-03-11,male,50,559,3
168,2020-03-11,male,60,364,8
169,2020-03-11,male,70,183,12
170,2020-03-11,male,80,89,9
171,2020-03-11,female,0,46,0
172,2020-03-11,female,10,251,0
173,2020-03-11,female,20,1387,0
174,2020-03-11,female,30,498,0
175,2020-03-11,female,40,670,0
176,2020-03-11,female,50,912,2
177,2020-03-11,female,60,595,5
178,2020-03-11,female,70,299,8
179,2020-03-11,female,80,146,7
180,2020-03-12,male,0,28,0
181,2020-03-12,male,10,156,0
182,2020-03-12,male,20,860,0
183,2020-03-12,male,30,308,0
184,2020-03-12,male,40,418,0
185,2020-03-12,male,50,568,3
186,2020-03-12,male,60,369,8
187,2020-03-12,male,70,189,13
188,2020-03-12,male,80,92,11
189,2020-03-12,female,0,47,0
190,2020-03-12,female,10,255,0
191,2020-03-12,female,20,1400,0
192,2020-03-12,female,30,503,0
193,2020-03-12,female,40,682,0
194,2020-03-12,female,50,926,2
195,2020-03-12,female,60,602,5
196,2020-03-12,female,70,307,10
197,2020-03-12,female,80,150,8
198,2020-03-13,male,0,29,0
199,2020-03-13,male,10,160,0
200,2020-03-13,male,20,867,0
201,2020-03-13,male,30,313,0
202,2020-03-13,male,40,425,0
203,2020-03-13,male,50,580,3
204,2020-03-13,male,60,375,8
205,2020-03-13,male,70,192,13
206,2020-03-13,male,80,96,12
207,2020-03-13,female,0,47,0
208,2020-03-13,female,10,260,0
209,2020-03-13,female,20,1406,0
210,2020-03-13,female,30,509,0
211,2020-03-13,female,40,691,0
212,2020-03-13,female,50,942,2
213,2020-03-13,female,60,609,5
214,2020-03-13,female,70,313,10
215,2020-03-13,female,80,156,8
216,2020-03-14,male,0,31,0
217,2020-03-14,male,10,162,0
218,2020-03-14,male,20,876,0
219,2020-03-14,male,30,319,0
220,2020-03-14,male,40,434,0
221,2020-03-14,male,50,594,3
222,2020-03-14,male,60,382,7
223,2020-03-14,male,70,197,15
224,2020-03-14,male,80,100,13
225,2020-03-14,female,0,49,0
226,2020-03-14,female,10,261,0
227,2020-03-14,female,20,1410,0
228,2020-03-14,female,30,513,0
229,2020-03-14,female,40,698,0
230,2020-03-14,female,50,956,2
231,2020-03-14,female,60,616,6
232,2020-03-14,female,70,317,11
233,2020-03-14,female,80,162,9
234,2020-03-15,male,0,31,0
235,2020-03-15,male,10,164,0
236,2020-03-15,male,20,884,0
237,2020-03-15,male,30,323,0
238,2020-03-15,male,40,438,0
239,2020-03-15,male,50,602,3
240,2020-03-15,male,60,388,7
241,2020-03-15,male,70,201,15
242,2020-03-15,male,80,101,13
243,2020-03-15,female,0,51,0
244,2020-03-15,female,10,262,0
245,2020-03-15,female,20,1416,0
246,2020-03-15,female,30,518,0
247,2020-03-15,female,40,702,0
248,2020-03-15,female,50,965,2
249,2020-03-15,female,60,623,6
250,2020-03-15,female,70,323,12
251,2020-03-15,female,80,161,11
252,2020-03-16,male,0,32,0
253,2020-03-16,male,10,166,0
254,2020-03-16,male,20,889,0
255,2020-03-16,male,30,326,0
256,2020-03-16,male,40,441,0
257,2020-03-16,male,50,609,3
258,2020-03-16,male,60,394,7
259,2020-03-16,male,70,204,15
260,2020-03-16,male,80,103,13
261,2020-03-16,female,0,52,0
262,2020-03-16,female,10,265,0
263,2020-03-16,female,20,1423,0
264,2020-03-16,female,30,522,0
265,2020-03-16,female,40,705,0
266,2020-03-16,female,50,975,2
267,2020-03-16,female,60,629,6
268,2020-03-16,female,70,326,12
269,2020-03-16,female,80,166,11
