province,elementary_school_count,kindergarten_count,university_count,elderly_population_ratio,population_density,total_cases,population,nursing_home_count
Busan,608,816,44,19.35,4400,144,3459840,13504
Chungcheongbuk-do,518,656,34,23.19,213,55,1640721,5538
Chungcheongnam-do,818,998,42,23.84,251,144,2194384,7282
Daegu,458,710,22,17.03,2818,6865,2468222,10166
Daejeon,296,520,30,14.38,2800,43,1493979,5968
Gangwon-do,698,736,36,22.89,75,55,1560571,5038
Gwangju,310,624,34,14.82,3000,30,1480293,5704
Gyeonggi-do,2554,4474,122,14.43,1203,714,13653984,20491
Gyeongsangbuk-do,942,1414,66,27.56,144,1368,2723955,8948
Gyeongsangnam-do,1002,1372,42,24.75,320,119,3438676,10728
Incheon,500,806,14,16.4,2800,119,3029285,8994
Jeju,113,123,4,15.1,315,14,696657,1245
Jeollabuk-do,838,1038,38,27.47,236,20,1851991,7548
Jeollanam-do,858,1084,38,28.14,163,17,1903383,6778
Seoul,1214,1660,96,15.74,12000,711,10010983,22739
Ulsan,238,400,8,11.77,1112,45,1168469,3602
