,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
117735,2020-01-20,Gyeongsangbuk-do,Andong,female,30,0,0,0.0,0.0,0.0,0.0
117707,2020-01-20,Gyeonggi-do,Ansan,female,30,0,0,0.0,0.0,0.0,0.0
117708,2020-01-20,Gyeonggi-do,Anseong,female,30,0,0,0.0,0.0,0.0,0.0
117709,2020-01-20,Gyeonggi-do,Anyang,female,30,0,0,0.0,0.0,0.0,0.0
117670,2020-01-20,Chungcheongnam-do,Asan,female,30,0,0,0.0,0.0,0.0,0.0
117736,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,30,0,0,0.0,0.0,0.0,0.0
117710,2020-01-20,Gyeonggi-do,Bucheon,female,30,0,0,0.0,0.0,0.0,0.0
117648,2020-01-20,Busan,Buk,female,30,0,0,0.0,0.0,0.0,0.0
117686,2020-01-20,Daegu,Buk,female,30,0,0,0.0,0.0,0.0,0.0
117703,2020-01-20,Gwangju,Buk,female,30,0,0,0.0,0.0,0.0,0.0
117815,2020-01-20,Ulsan,Buk,female,30,0,0,0.0,0.0,0.0,0.0
117769,2020-01-20,Incheon,Bupyeong,female,30,0,0,0.0,0.0,0.0,0.0
117649,2020-01-20,Busan,Busanjin,female,30,0,0,0.0,0.0,0.0,0.0
117671,2020-01-20,Chungcheongnam-do,Buyeo,female,30,0,0,0.0,0.0,0.0,0.0
117754,2020-01-20,Gyeongsangnam-do,Changnyeong,female,30,0,0,0.0,0.0,0.0,0.0
117755,2020-01-20,Gyeongsangnam-do,Changwon,female,30,0,0,0.0,0.0,0.0,0.0
117672,2020-01-20,Chungcheongnam-do,Cheonan,female,30,0,0,0.0,0.0,0.0,0.0
117737,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,30,0,0,0.0,0.0,0.0,0.0
117663,2020-01-20,Chungcheongbuk-do,Cheongju,female,30,0,0,0.0,0.0,0.0,0.0
117738,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,30,0,0,0.0,0.0,0.0,0.0
117692,2020-01-20,Gangwon-do,Cheorwon,female,30,0,0,0.0,0.0,0.0,0.0
117739,2020-01-20,Gyeongsangbuk-do,Chilgok,female,30,0,0,0.0,0.0,0.0,0.0
117693,2020-01-20,Gangwon-do,Chuncheon,female,30,0,0,0.0,0.0,0.0,0.0
117664,2020-01-20,Chungcheongbuk-do,Chungju,female,30,0,0,0.0,0.0,0.0,0.0
117687,2020-01-20,Daejeon,Daedeok,female,30,0,0,0.0,0.0,0.0,0.0
117679,2020-01-20,Daegu,Dalseo,female,30,0,0,0.0,0.0,0.0,0.0
117680,2020-01-20,Daegu,Dalseong,female,30,0,0,0.0,0.0,0.0,0.0
117665,2020-01-20,Chungcheongbuk-do,Danyang,female,30,0,0,0.0,0.0,0.0,0.0
117790,2020-01-20,Seoul,Dobong,female,30,0,0,0.0,0.0,0.0,0.0
117650,2020-01-20,Busan,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117681,2020-01-20,Daegu,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117688,2020-01-20,Daejeon,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117704,2020-01-20,Gwangju,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117770,2020-01-20,Incheon,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117816,2020-01-20,Ulsan,Dong,female,30,0,0,0.0,0.0,0.0,0.0
117791,2020-01-20,Seoul,Dongdaemun,female,30,0,0,0.0,0.0,0.0,0.0
117711,2020-01-20,Gyeonggi-do,Dongducheon,female,30,0,0,0.0,0.0,0.0,0.0
117792,2020-01-20,Seoul,Dongjak,female,30,0,0,0.0,0.0,0.0,0.0
117651,2020-01-20,Busan,Dongnae,female,30,0,0,0.0,0.0,0.0,0.0
117666,2020-01-20,Chungcheongbuk-do,Eumseong,female,30,0,0,0.0,0.0,0.0,0.0
117793,2020-01-20,Seoul,Eunpyeong,female,30,0,0,0.0,0.0,0.0,0.0
117794,2020-01-20,Seoul,Gangbuk,female,30,0,0,0.0,0.0,0.0,0.0
117795,2020-01-20,Seoul,Gangdong,female,30,0,0,0.0,0.0,0.0,0.0
117771,2020-01-20,Incheon,Ganghwa,female,30,0,0,0.0,0.0,0.0,0.0
117796,2020-01-20,Seoul,Gangnam,female,30,0,0,0.0,0.0,0.0,0.0
117694,2020-01-20,Gangwon-do,Gangneung,female,30,0,0,0.0,0.0,0.0,0.0
117652,2020-01-20,Busan,Gangseo,female,30,0,0,0.0,0.0,0.0,0.0
117797,2020-01-20,Seoul,Gangseo,female,30,0,0,0.0,0.0,0.0,0.0
117712,2020-01-20,Gyeonggi-do,Gapyeong,female,30,0,0,0.0,0.0,0.0,0.0
117756,2020-01-20,Gyeongsangnam-do,Geochang,female,30,0,0,0.0,0.0,0.0,0.0
117757,2020-01-20,Gyeongsangnam-do,Geoje,female,30,0,0,0.0,0.0,0.0,0.0
117798,2020-01-20,Seoul,Geumcheon,female,30,0,0,0.0,0.0,0.0,0.0
117653,2020-01-20,Busan,Geumjeong,female,30,0,0,0.0,0.0,0.0,0.0
117654,2020-01-20,Busan,Gijang,female,30,0,0,0.0,0.0,0.0,0.0
117740,2020-01-20,Gyeongsangbuk-do,Gimcheon,female,30,0,0,0.0,0.0,0.0,0.0
117758,2020-01-20,Gyeongsangnam-do,Gimhae,female,30,0,0,0.0,0.0,0.0,0.0
117779,2020-01-20,Jeollabuk-do,Gimje,female,30,0,0,0.0,0.0,0.0,0.0
117713,2020-01-20,Gyeonggi-do,Gimpo,female,30,0,0,0.0,0.0,0.0,0.0
117667,2020-01-20,Chungcheongbuk-do,Goesan,female,30,0,0,0.0,0.0,0.0,0.0
117741,2020-01-20,Gyeongsangbuk-do,Goryeong,female,30,0,0,0.0,0.0,0.0,0.0
117702,2020-01-20,Gangwon-do,Goseong,female,30,0,0,0.0,0.0,0.0,0.0
117759,2020-01-20,Gyeongsangnam-do,Goseong,female,30,0,0,0.0,0.0,0.0,0.0
117714,2020-01-20,Gyeonggi-do,Goyang,female,30,0,0,0.0,0.0,0.0,0.0
117742,2020-01-20,Gyeongsangbuk-do,Gumi,female,30,0,0,0.0,0.0,0.0,0.0
117715,2020-01-20,Gyeonggi-do,Gunpo,female,30,0,0,0.0,0.0,0.0,0.0
117780,2020-01-20,Jeollabuk-do,Gunsan,female,30,0,0,0.0,0.0,0.0,0.0
117716,2020-01-20,Gyeonggi-do,Guri,female,30,0,0,0.0,0.0,0.0,0.0
117799,2020-01-20,Seoul,Guro,female,30,0,0,0.0,0.0,0.0,0.0
117717,2020-01-20,Gyeonggi-do,Gwacheon,female,30,0,0,0.0,0.0,0.0,0.0
117800,2020-01-20,Seoul,Gwanak,female,30,0,0,0.0,0.0,0.0,0.0
117801,2020-01-20,Seoul,Gwangjin,female,30,0,0,0.0,0.0,0.0,0.0
117718,2020-01-20,Gyeonggi-do,Gwangju,female,30,0,0,0.0,0.0,0.0,0.0
117719,2020-01-20,Gyeonggi-do,Gwangmyeong,female,30,0,0,0.0,0.0,0.0,0.0
117784,2020-01-20,Jeollanam-do,Gwangyang,female,30,0,0,0.0,0.0,0.0,0.0
117743,2020-01-20,Gyeongsangbuk-do,Gyeongju,female,30,0,0,0.0,0.0,0.0,0.0
117744,2020-01-20,Gyeongsangbuk-do,Gyeongsan,female,30,0,0,0.0,0.0,0.0,0.0
117673,2020-01-20,Chungcheongnam-do,Gyeryong,female,30,0,0,0.0,0.0,0.0,0.0
117772,2020-01-20,Incheon,Gyeyang,female,30,0,0,0.0,0.0,0.0,0.0
117655,2020-01-20,Busan,Haeundae,female,30,0,0,0.0,0.0,0.0,0.0
117760,2020-01-20,Gyeongsangnam-do,Haman,female,30,0,0,0.0,0.0,0.0,0.0
117761,2020-01-20,Gyeongsangnam-do,Hamyang,female,30,0,0,0.0,0.0,0.0,0.0
117720,2020-01-20,Gyeonggi-do,Hanam,female,30,0,0,0.0,0.0,0.0,0.0
117762,2020-01-20,Gyeongsangnam-do,Hapcheon,female,30,0,0,0.0,0.0,0.0,0.0
117695,2020-01-20,Gangwon-do,Hoengseong,female,30,0,0,0.0,0.0,0.0,0.0
117674,2020-01-20,Chungcheongnam-do,Hongseong,female,30,0,0,0.0,0.0,0.0,0.0
117721,2020-01-20,Gyeonggi-do,Hwaseong,female,30,0,0,0.0,0.0,0.0,0.0
117785,2020-01-20,Jeollanam-do,Hwasun,female,30,0,0,0.0,0.0,0.0,0.0
117722,2020-01-20,Gyeonggi-do,Icheon,female,30,0,0,0.0,0.0,0.0,0.0
117781,2020-01-20,Jeollabuk-do,Iksan,female,30,0,0,0.0,0.0,0.0,0.0
117696,2020-01-20,Gangwon-do,Inje,female,30,0,0,0.0,0.0,0.0,0.0
117782,2020-01-20,Jeollabuk-do,Jangsu,female,30,0,0,0.0,0.0,0.0,0.0
117778,2020-01-20,Jeju,Jeju,female,30,0,0,0.0,0.0,0.0,0.0
117783,2020-01-20,Jeollabuk-do,Jeonju,female,30,0,0,0.0,0.0,0.0,0.0
117668,2020-01-20,Chungcheongbuk-do,Jeungpyeong,female,30,0,0,0.0,0.0,0.0,0.0
117669,2020-01-20,Chungcheongbuk-do,Jincheon,female,30,0,0,0.0,0.0,0.0,0.0
117763,2020-01-20,Gyeongsangnam-do,Jinju,female,30,0,0,0.0,0.0,0.0,0.0
117802,2020-01-20,Seoul,Jongno,female,30,0,0,0.0,0.0,0.0,0.0
117662,2020-01-20,Busan,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117682,2020-01-20,Daegu,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117689,2020-01-20,Daejeon,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117773,2020-01-20,Incheon,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117803,2020-01-20,Seoul,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117817,2020-01-20,Ulsan,Jung,female,30,0,0,0.0,0.0,0.0,0.0
117804,2020-01-20,Seoul,Jungnang,female,30,0,0,0.0,0.0,0.0,0.0
117805,2020-01-20,Seoul,Mapo,female,30,0,0,0.0,0.0,0.0,0.0
117774,2020-01-20,Incheon,Michuhol,female,30,0,0,0.0,0.0,0.0,0.0
117764,2020-01-20,Gyeongsangnam-do,Miryang,female,30,0,0,0.0,0.0,0.0,0.0
117786,2020-01-20,Jeollanam-do,Mokpo,female,30,0,0,0.0,0.0,0.0,0.0
117787,2020-01-20,Jeollanam-do,Muan,female,30,0,0,0.0,0.0,0.0,0.0
117745,2020-01-20,Gyeongsangbuk-do,Mungyeong,female,30,0,0,0.0,0.0,0.0,0.0
117656,2020-01-20,Busan,Nam,female,30,0,0,0.0,0.0,0.0,0.0
117683,2020-01-20,Daegu,Nam,female,30,0,0,0.0,0.0,0.0,0.0
117705,2020-01-20,Gwangju,Nam,female,30,0,0,0.0,0.0,0.0,0.0
117818,2020-01-20,Ulsan,Nam,female,30,0,0,0.0,0.0,0.0,0.0
117775,2020-01-20,Incheon,Namdong,female,30,0,0,0.0,0.0,0.0,0.0
117765,2020-01-20,Gyeongsangnam-do,Namhae,female,30,0,0,0.0,0.0,0.0,0.0
117723,2020-01-20,Gyeonggi-do,Namyangju,female,30,0,0,0.0,0.0,0.0,0.0
117675,2020-01-20,Chungcheongnam-do,Nonsan,female,30,0,0,0.0,0.0,0.0,0.0
117806,2020-01-20,Seoul,Nowon,female,30,0,0,0.0,0.0,0.0,0.0
117724,2020-01-20,Gyeonggi-do,Osan,female,30,0,0,0.0,0.0,0.0,0.0
117725,2020-01-20,Gyeonggi-do,Paju,female,30,0,0,0.0,0.0,0.0,0.0
117726,2020-01-20,Gyeonggi-do,Pocheon,female,30,0,0,0.0,0.0,0.0,0.0
117746,2020-01-20,Gyeongsangbuk-do,Pohang,female,30,0,0,0.0,0.0,0.0,0.0
117727,2020-01-20,Gyeonggi-do,Pyeongtaek,female,30,0,0,0.0,0.0,0.0,0.0
117766,2020-01-20,Gyeongsangnam-do,Sacheon,female,30,0,0,0.0,0.0,0.0,0.0
117657,2020-01-20,Busan,Saha,female,30,0,0,0.0,0.0,0.0,0.0
117697,2020-01-20,Gangwon-do,Samcheok,female,30,0,0,0.0,0.0,0.0,0.0
117767,2020-01-20,Gyeongsangnam-do,Sancheong,female,30,0,0,0.0,0.0,0.0,0.0
117747,2020-01-20,Gyeongsangbuk-do,Sangju,female,30,0,0,0.0,0.0,0.0,0.0
117658,2020-01-20,Busan,Sasang,female,30,0,0,0.0,0.0,0.0,0.0
117659,2020-01-20,Busan,Seo,female,30,0,0,0.0,0.0,0.0,0.0
117684,2020-01-20,Daegu,Seo,female,30,0,0,0.0,0.0,0.0,0.0
117690,2020-01-20,Daejeon,Seo,female,30,0,0,0.0,0.0,0.0,0.0
117706,2020-01-20,Gwangju,Seo,female,30,0,0,0.0,0.0,0.0,0.0
117776,2020-01-20,Incheon,Seo,female,30,0,0,0.0,0.0,0.0,0.0
117676,2020-01-20,Chungcheongnam-do,Seocheon,female,30,0,0,0.0,0.0,0.0,0.0
117807,2020-01-20,Seoul,Seocho,female,30,0,0,0.0,0.0,0.0,0.0
117808,2020-01-20,Seoul,Seodaemun,female,30,0,0,0.0,0.0,0.0,0.0
117809,2020-01-20,Seoul,Seongbuk,female,30,0,0,0.0,0.0,0.0,0.0
117810,2020-01-20,Seoul,Seongdong,female,30,0,0,0.0,0.0,0.0,0.0
117748,2020-01-20,Gyeongsangbuk-do,Seongju,female,30,0,0,0.0,0.0,0.0,0.0
117728,2020-01-20,Gyeonggi-do,Seongnam,female,30,0,0,0.0,0.0,0.0,0.0
117677,2020-01-20,Chungcheongnam-do,Seosan,female,30,0,0,0.0,0.0,0.0,0.0
117729,2020-01-20,Gyeonggi-do,Siheung,female,30,0,0,0.0,0.0,0.0,0.0
117698,2020-01-20,Gangwon-do,Sokcho,female,30,0,0,0.0,0.0,0.0,0.0
117811,2020-01-20,Seoul,Songpa,female,30,0,0,0.0,0.0,0.0,0.0
117788,2020-01-20,Jeollanam-do,Suncheon,female,30,0,0,0.0,0.0,0.0,0.0
117685,2020-01-20,Daegu,Suseong,female,30,0,0,0.0,0.0,0.0,0.0
117730,2020-01-20,Gyeonggi-do,Suwon,female,30,0,0,0.0,0.0,0.0,0.0
117660,2020-01-20,Busan,Suyeong,female,30,0,0,0.0,0.0,0.0,0.0
117678,2020-01-20,Chungcheongnam-do,Taean,female,30,0,0,0.0,0.0,0.0,0.0
117699,2020-01-20,Gangwon-do,Taebaek,female,30,0,0,0.0,0.0,0.0,0.0
117731,2020-01-20,Gyeonggi-do,Uijeongbu,female,30,0,0,0.0,0.0,0.0,0.0
117749,2020-01-20,Gyeongsangbuk-do,Uiseong,female,30,0,0,0.0,0.0,0.0,0.0
