,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
451071,2020-01-20,Gyeongsangbuk-do,Andong,female,All,0,0,0.0,0.0,0.0,0.0
451043,2020-01-20,Gyeonggi-do,Ansan,female,All,0,0,0.0,0.0,0.0,0.0
451044,2020-01-20,Gyeonggi-do,Anseong,female,All,0,0,0.0,0.0,0.0,0.0
451045,2020-01-20,Gyeonggi-do,Anyang,female,All,0,0,0.0,0.0,0.0,0.0
451006,2020-01-20,Chungcheongnam-do,Asan,female,All,0,0,0.0,0.0,0.0,0.0
451072,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,All,0,0,0.0,0.0,0.0,0.0
451046,2020-01-20,Gyeonggi-do,Bucheon,female,All,0,0,0.0,0.0,0.0,0.0
450984,2020-01-20,Busan,Buk,female,All,0,0,0.0,0.0,0.0,0.0
451022,2020-01-20,Daegu,Buk,female,All,0,0,0.0,0.0,0.0,0.0
451039,2020-01-20,Gwangju,Buk,female,All,0,0,0.0,0.0,0.0,0.0
451151,2020-01-20,Ulsan,Buk,female,All,0,0,0.0,0.0,0.0,0.0
451105,2020-01-20,Incheon,Bupyeong,female,All,0,0,0.0,0.0,0.0,0.0
450985,2020-01-20,Busan,Busanjin,female,All,0,0,0.0,0.0,0.0,0.0
451007,2020-01-20,Chungcheongnam-do,Buyeo,female,All,0,0,0.0,0.0,0.0,0.0
451090,2020-01-20,Gyeongsangnam-do,Changnyeong,female,All,0,0,0.0,0.0,0.0,0.0
451091,2020-01-20,Gyeongsangnam-do,Changwon,female,All,0,0,0.0,0.0,0.0,0.0
451008,2020-01-20,Chungcheongnam-do,Cheonan,female,All,0,0,0.0,0.0,0.0,0.0
451073,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,All,0,0,0.0,0.0,0.0,0.0
450999,2020-01-20,Chungcheongbuk-do,Cheongju,female,All,0,0,0.0,0.0,0.0,0.0
451074,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,All,0,0,0.0,0.0,0.0,0.0
451028,2020-01-20,Gangwon-do,Cheorwon,female,All,0,0,0.0,0.0,0.0,0.0
451075,2020-01-20,Gyeongsangbuk-do,Chilgok,female,All,0,0,0.0,0.0,0.0,0.0
451029,2020-01-20,Gangwon-do,Chuncheon,female,All,0,0,0.0,0.0,0.0,0.0
451000,2020-01-20,Chungcheongbuk-do,Chungju,female,All,0,0,0.0,0.0,0.0,0.0
451023,2020-01-20,Daejeon,Daedeok,female,All,0,0,0.0,0.0,0.0,0.0
451015,2020-01-20,Daegu,Dalseo,female,All,0,0,0.0,0.0,0.0,0.0
451016,2020-01-20,Daegu,Dalseong,female,All,0,0,0.0,0.0,0.0,0.0
451001,2020-01-20,Chungcheongbuk-do,Danyang,female,All,0,0,0.0,0.0,0.0,0.0
451126,2020-01-20,Seoul,Dobong,female,All,0,0,0.0,0.0,0.0,0.0
450986,2020-01-20,Busan,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451017,2020-01-20,Daegu,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451024,2020-01-20,Daejeon,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451040,2020-01-20,Gwangju,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451106,2020-01-20,Incheon,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451152,2020-01-20,Ulsan,Dong,female,All,0,0,0.0,0.0,0.0,0.0
451127,2020-01-20,Seoul,Dongdaemun,female,All,0,0,0.0,0.0,0.0,0.0
451047,2020-01-20,Gyeonggi-do,Dongducheon,female,All,0,0,0.0,0.0,0.0,0.0
451128,2020-01-20,Seoul,Dongjak,female,All,0,0,0.0,0.0,0.0,0.0
450987,2020-01-20,Busan,Dongnae,female,All,0,0,0.0,0.0,0.0,0.0
451002,2020-01-20,Chungcheongbuk-do,Eumseong,female,All,0,0,0.0,0.0,0.0,0.0
451129,2020-01-20,Seoul,Eunpyeong,female,All,0,0,0.0,0.0,0.0,0.0
451130,2020-01-20,Seoul,Gangbuk,female,All,0,0,0.0,0.0,0.0,0.0
451131,2020-01-20,Seoul,Gangdong,female,All,0,0,0.0,0.0,0.0,0.0
451107,2020-01-20,Incheon,Ganghwa,female,All,0,0,0.0,0.0,0.0,0.0
451132,2020-01-20,Seoul,Gangnam,female,All,0,0,0.0,0.0,0.0,0.0
451030,2020-01-20,Gangwon-do,Gangneung,female,All,0,0,0.0,0.0,0.0,0.0
450988,2020-01-20,Busan,Gangseo,female,All,0,0,0.0,0.0,0.0,0.0
451133,2020-01-20,Seoul,Gangseo,female,All,0,0,0.0,0.0,0.0,0.0
451048,2020-01-20,Gyeonggi-do,Gapyeong,female,All,0,0,0.0,0.0,0.0,0.0
451092,2020-01-20,Gyeongsangnam-do,Geochang,female,All,0,0,0.0,0.0,0.0,0.0
451093,2020-01-20,Gyeongsangnam-do,Geoje,female,All,0,0,0.0,0.0,0.0,0.0
451134,2020-01-20,Seoul,Geumcheon,female,All,0,0,0.0,0.0,0.0,0.0
450989,2020-01-20,Busan,Geumjeong,female,All,0,0,0.0,0.0,0.0,0.0
450990,2020-01-20,Busan,Gijang,female,All,0,0,0.0,0.0,0.0,0.0
451076,2020-01-20,Gyeongsangbuk-do,Gimcheon,female,All,0,0,0.0,0.0,0.0,0.0
451094,2020-01-20,Gyeongsangnam-do,Gimhae,female,All,0,0,0.0,0.0,0.0,0.0
451115,2020-01-20,Jeollabuk-do,Gimje,female,All,0,0,0.0,0.0,0.0,0.0
451049,2020-01-20,Gyeonggi-do,Gimpo,female,All,0,0,0.0,0.0,0.0,0.0
451003,2020-01-20,Chungcheongbuk-do,Goesan,female,All,0,0,0.0,0.0,0.0,0.0
451077,2020-01-20,Gyeongsangbuk-do,Goryeong,female,All,0,0,0.0,0.0,0.0,0.0
451038,2020-01-20,Gangwon-do,Goseong,female,All,0,0,0.0,0.0,0.0,0.0
451095,2020-01-20,Gyeongsangnam-do,Goseong,female,All,0,0,0.0,0.0,0.0,0.0
451050,2020-01-20,Gyeonggi-do,Goyang,female,All,0,0,0.0,0.0,0.0,0.0
451078,2020-01-20,Gyeongsangbuk-do,Gumi,female,All,0,0,0.0,0.0,0.0,0.0
451051,2020-01-20,Gyeonggi-do,Gunpo,female,All,0,0,0.0,0.0,0.0,0.0
451116,2020-01-20,Jeollabuk-do,Gunsan,female,All,0,0,0.0,0.0,0.0,0.0
451052,2020-01-20,Gyeonggi-do,Guri,female,All,0,0,0.0,0.0,0.0,0.0
451135,2020-01-20,Seoul,Guro,female,All,0,0,0.0,0.0,0.0,0.0
451053,2020-01-20,Gyeonggi-do,Gwacheon,female,All,0,0,0.0,0.0,0.0,0.0
451136,2020-01-20,Seoul,Gwanak,female,All,0,0,0.0,0.0,0.0,0.0
451137,2020-01-20,Seoul,Gwangjin,female,All,0,0,0.0,0.0,0.0,0.0
451054,2020-01-20,Gyeonggi-do,Gwangju,female,All,0,0,0.0,0.0,0.0,0.0
451055,2020-01-20,Gyeonggi-do,Gwangmyeong,female,All,0,0,0.0,0.0,0.0,0.0
451120,2020-01-20,Jeollanam-do,Gwangyang,female,All,0,0,0.0,0.0,0.0,0.0
451079,2020-01-20,Gyeongsangbuk-do,Gyeongju,female,All,0,0,0.0,0.0,0.0,0.0
451080,2020-01-20,Gyeongsangbuk-do,Gyeongsan,female,All,0,0,0.0,0.0,0.0,0.0
451009,2020-01-20,Chungcheongnam-do,Gyeryong,female,All,0,0,0.0,0.0,0.0,0.0
451108,2020-01-20,Incheon,Gyeyang,female,All,0,0,0.0,0.0,0.0,0.0
450991,2020-01-20,Busan,Haeundae,female,All,0,0,0.0,0.0,0.0,0.0
451096,2020-01-20,Gyeongsangnam-do,Haman,female,All,0,0,0.0,0.0,0.0,0.0
451097,2020-01-20,Gyeongsangnam-do,Hamyang,female,All,0,0,0.0,0.0,0.0,0.0
451056,2020-01-20,Gyeonggi-do,Hanam,female,All,0,0,0.0,0.0,0.0,0.0
451098,2020-01-20,Gyeongsangnam-do,Hapcheon,female,All,0,0,0.0,0.0,0.0,0.0
451031,2020-01-20,Gangwon-do,Hoengseong,female,All,0,0,0.0,0.0,0.0,0.0
451010,2020-01-20,Chungcheongnam-do,Hongseong,female,All,0,0,0.0,0.0,0.0,0.0
451057,2020-01-20,Gyeonggi-do,Hwaseong,female,All,0,0,0.0,0.0,0.0,0.0
451121,2020-01-20,Jeollanam-do,Hwasun,female,All,0,0,0.0,0.0,0.0,0.0
451058,2020-01-20,Gyeonggi-do,Icheon,female,All,0,0,0.0,0.0,0.0,0.0
451117,2020-01-20,Jeollabuk-do,Iksan,female,All,0,0,0.0,0.0,0.0,0.0
451032,2020-01-20,Gangwon-do,Inje,female,All,0,0,0.0,0.0,0.0,0.0
451118,2020-01-20,Jeollabuk-do,Jangsu,female,All,0,0,0.0,0.0,0.0,0.0
451114,2020-01-20,Jeju,Jeju,female,All,0,0,0.0,0.0,0.0,0.0
