,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
571957,2020-01-20,Gyeongsangbuk-do,Andong,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571930,2020-01-20,Gyeonggi-do,Ansan,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571931,2020-01-20,Gyeonggi-do,Anseong,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571932,2020-01-20,Gyeonggi-do,Anyang,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571907,2020-01-20,Chungcheongnam-do,Asan,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571958,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571933,2020-01-20,Gyeonggi-do,Bucheon,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571710,2020-01-20,Busan,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571711,2020-01-20,Busan,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571712,2020-01-20,Busan,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571713,2020-01-20,Busan,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571714,2020-01-20,Busan,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571749,2020-01-20,Daegu,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571750,2020-01-20,Daegu,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571751,2020-01-20,Daegu,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571752,2020-01-20,Daegu,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571753,2020-01-20,Daegu,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571780,2020-01-20,Gwangju,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571781,2020-01-20,Gwangju,Buk,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0
