,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
176559,2020-01-20,Gyeongsangbuk-do,Andong,male,40,0,0,0.0,0.0,0.0,0.0
176531,2020-01-20,Gyeonggi-do,Ansan,male,40,0,0,0.0,0.0,0.0,0.0
176532,2020-01-20,Gyeonggi-do,Anseong,male,40,0,0,0.0,0.0,0.0,0.0
176533,2020-01-20,Gyeonggi-do,Anyang,male,40,0,0,0.0,0.0,0.0,0.0
176494,2020-01-20,Chungcheongnam-do,Asan,male,40,0,0,0.0,0.0,0.0,0.0
176560,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,40,0,0,0.0,0.0,0.0,0.0
176534,2020-01-20,Gyeonggi-do,Bucheon,male,40,0,0,0.0,0.0,0.0,0.0
176472,2020-01-20,Busan,Buk,male,40,0,0,0.0,0.0,0.0,0.0
176510,2020-01-20,Daegu,Buk,male,40,0,0,0.0,0.0,0.0,0.0
176527,2020-01-20,Gwangju,Buk,male,40,0,0,0.0,0.0,0.0,0.0
176639,2020-01-20,Ulsan,Buk,male,40,0,0,0.0,0.0,0.0,0.0
176593,2020-01-20,Incheon,Bupyeong,male,40,0,0,0.0,0.0,0.0,0.0
176473,2020-01-20,Busan,Busanjin,male,40,0,0,0.0,0.0,0.0,0.0
176495,2020-01-20,Chungcheongnam-do,Buyeo,male,40,0,0,0.0,0.0,0.0,0.0
176578,2020-01-20,Gyeongsangnam-do,Changnyeong,male,40,0,0,0.0,0.0,0.0,0.0
176579,2020-01-20,Gyeongsangnam-do,Changwon,male,40,0,0,0.0,0.0,0.0,0.0
176496,2020-01-20,Chungcheongnam-do,Cheonan,male,40,0,0,0.0,0.0,0.0,0.0
176561,2020-01-20,Gyeongsangbuk-do,Cheongdo,male,40,0,0,0.0,0.0,0.0,0.0
176487,2020-01-20,Chungcheongbuk-do,Cheongju,male,40,0,0,0.0,0.0,0.0,0.0
176562,2020-01-20,Gyeongsangbuk-do,Cheongsong,male,40,0,0,0.0,0.0,0.0,0.0
176516,2020-01-20,Gangwon-do,Cheorwon,male,40,0,0,0.0,0.0,0.0,0.0
176563,2020-01-20,Gyeongsangbuk-do,Chilgok,male,40,0,0,0.0,0.0,0.0,0.0
176517,2020-01-20,Gangwon-do,Chuncheon,male,40,0,0,0.0,0.0,0.0,0.0
176488,2020-01-20,Chungcheongbuk-do,Chungju,male,40,0,0,0.0,0.0,0.0,0.0
176511,2020-01-20,Daejeon,Daedeok,male,40,0,0,0.0,0.0,0.0,0.0
176503,2020-01-20,Daegu,Dalseo,male,40,0,0,0.0,0.0,0.0,0.0
176504,2020-01-20,Daegu,Dalseong,male,40,0,0,0.0,0.0,0.0,0.0
176489,2020-01-20,Chungcheongbuk-do,Danyang,male,40,0,0,0.0,0.0,0.0,0.0
176614,2020-01-20,Seoul,Dobong,male,40,0,0,0.0,0.0,0.0,0.0
176474,2020-01-20,Busan,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176505,2020-01-20,Daegu,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176512,2020-01-20,Daejeon,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176528,2020-01-20,Gwangju,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176594,2020-01-20,Incheon,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176640,2020-01-20,Ulsan,Dong,male,40,0,0,0.0,0.0,0.0,0.0
176615,2020-01-20,Seoul,Dongdaemun,male,40,0,0,0.0,0.0,0.0,0.0
176535,2020-01-20,Gyeonggi-do,Dongducheon,male,40,0,0,0.0,0.0,0.0,0.0
176616,2020-01-20,Seoul,Dongjak,male,40,0,0,0.0,0.0,0.0,0.0
176475,2020-01-20,Busan,Dongnae,male,40,0,0,0.0,0.0,0.0,0.0
176490,2020-01-20,Chungcheongbuk-do,Eumseong,male,40,0,0,0.0,0.0,0.0,0.0
176617,2020-01-20,Seoul,Eunpyeong,male,40,0,0,0.0,0.0,0.0,0.0
176618,2020-01-20,Seoul,Gangbuk,male,40,0,0,0.0,0.0,0.0,0.0
176619,2020-01-20,Seoul,Gangdong,male,40,0,0,0.0,0.0,0.0,0.0
176595,2020-01-20,Incheon,Ganghwa,male,40,0,0,0.0,0.0,0.0,0.0
176620,2020-01-20,Seoul,Gangnam,male,40,0,0,0.0,0.0,0.0,0.0
176518,2020-01-20,Gangwon-do,Gangneung,male,40,0,0,0.0,0.0,0.0,0.0
176476,2020-01-20,Busan,Gangseo,male,40,0,0,0.0,0.0,0.0,0.0
176621,2020-01-20,Seoul,Gangseo,male,40,0,0,0.0,0.0,0.0,0.0
176536,2020-01-20,Gyeonggi-do,Gapyeong,male,40,0,0,0.0,0.0,0.0,0.0
176580,2020-01-20,Gyeongsangnam-do,Geochang,male,40,0,0,0.0,0.0,0.0,0.0
176581,2020-01-20,Gyeongsangnam-do,Geoje,male,40,0,0,0.0,0.0,0.0,0.0
176622,2020-01-20,Seoul,Geumcheon,male,40,0,0,0.0,0.0,0.0,0.0
176477,2020-01-20,Busan,Geumjeong,male,40,0,0,0.0,0.0,0.0,0.0
176478,2020-01-20,Busan,Gijang,male,40,0,0,0.0,0.0,0.0,0.0
176564,2020-01-20,Gyeongsangbuk-do,Gimcheon,male,40,0,0,0.0,0.0,0.0,0.0
176582,2020-01-20,Gyeongsangnam-do,Gimhae,male,40,0,0,0.0,0.0,0.0,0.0
176603,2020-01-20,Jeollabuk-do,Gimje,male,40,0,0,0.0,0.0,0.0,0.0
176537,2020-01-20,Gyeonggi-do,Gimpo,male,40,0,0,0.0,0.0,0.0,0.0
176491,2020-01-20,Chungcheongbuk-do,Goesan,male,40,0,0,0.0,0.0,0.0,0.0
176565,2020-01-20,Gyeongsangbuk-do,Goryeong,male,40,0,0,0.0,0.0,0.0,0.0
176526,2020-01-20,Gangwon-do,Goseong,male,40,0,0,0.0,0.0,0.0,0.0
176583,2020-01-20,Gyeongsangnam-do,Goseong,male,40,0,0,0.0,0.0,0.0,0.0
176538,2020-01-20,Gyeonggi-do,Goyang,male,40,0,0,0.0,0.0,0.0,0.0
176566,2020-01-20,Gyeongsangbuk-do,Gumi,male,40,0,0,0.0,0.0,0.0,0.0
176539,2020-01-20,Gyeonggi-do,Gunpo,male,40,0,0,0.0,0.0,0.0,0.0
