,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
470679,2020-01-20,Gyeongsangbuk-do,Andong,male,All,0,0,0.0,0.0,0.0,0.0
470651,2020-01-20,Gyeonggi-do,Ansan,male,All,0,0,0.0,0.0,0.0,0.0
470652,2020-01-20,Gyeonggi-do,Anseong,male,All,0,0,0.0,0.0,0.0,0.0
470653,2020-01-20,Gyeonggi-do,Anyang,male,All,0,0,0.0,0.0,0.0,0.0
470614,2020-01-20,Chungcheongnam-do,Asan,male,All,0,0,0.0,0.0,0.0,0.0
470680,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,All,0,0,0.0,0.0,0.0,0.0
470654,2020-01-20,Gyeonggi-do,Bucheon,male,All,0,0,0.0,0.0,0.0,0.0
470592,2020-01-20,Busan,Buk,male,All,0,0,0.0,0.0,0.0,0.0
470630,2020-01-20,Daegu,Buk,male,All,0,0,0.0,0.0,0.0,0.0
470647,2020-01-20,Gwangju,Buk,male,All,0,0,0.0,0.0,0.0,0.0
470759,2020-01-20,Ulsan,Buk,male,All,0,0,0.0,0.0,0.0,0.0
470713,2020-01-20,Incheon,Bupyeong,male,All,0,0,0.0,0.0,0.0,0.0
470593,2020-01-20,Busan,Busanjin,male,All,0,0,0.0,0.0,0.0,0.0
470615,2020-01-20,Chungcheongnam-do,Buyeo,male,All,0,0,0.0,0.0,0.0,0.0
470698,2020-01-20,Gyeongsangnam-do,Changnyeong,male,All,0,0,0.0,0.0,0.0,0.0
470699,2020-01-20,Gyeongsangnam-do,Changwon,male,All,0,0,0.0,0.0,0.0,0.0
470616,2020-01-20,Chungcheongnam-do,Cheonan,male,All,0,0,0.0,0.0,0.0,0.0
470681,2020-01-20,Gyeongsangbuk-do,Cheongdo,male,All,0,0,0.0,0.0,0.0,0.0
470607,2020-01-20,Chungcheongbuk-do,Cheongju,male,All,0,0,0.0,0.0,0.0,0.0
470682,2020-01-20,Gyeongsangbuk-do,Cheongsong,male,All,0,0,0.0,0.0,0.0,0.0
470636,2020-01-20,Gangwon-do,Cheorwon,male,All,0,0,0.0,0.0,0.0,0.0
470683,2020-01-20,Gyeongsangbuk-do,Chilgok,male,All,0,0,0.0,0.0,0.0,0.0
470637,2020-01-20,Gangwon-do,Chuncheon,male,All,0,0,0.0,0.0,0.0,0.0
470608,2020-01-20,Chungcheongbuk-do,Chungju,male,All,0,0,0.0,0.0,0.0,0.0
470631,2020-01-20,Daejeon,Daedeok,male,All,0,0,0.0,0.0,0.0,0.0
470623,2020-01-20,Daegu,Dalseo,male,All,0,0,0.0,0.0,0.0,0.0
470624,2020-01-20,Daegu,Dalseong,male,All,0,0,0.0,0.0,0.0,0.0
470609,2020-01-20,Chungcheongbuk-do,Danyang,male,All,0,0,0.0,0.0,0.0,0.0
470734,2020-01-20,Seoul,Dobong,male,All,0,0,0.0,0.0,0.0,0.0
470594,2020-01-20,Busan,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470625,2020-01-20,Daegu,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470632,2020-01-20,Daejeon,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470648,2020-01-20,Gwangju,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470714,2020-01-20,Incheon,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470760,2020-01-20,Ulsan,Dong,male,All,0,0,0.0,0.0,0.0,0.0
470735,2020-01-20,Seoul,Dongdaemun,male,All,0,0,0.0,0.0,0.0,0.0
470655,2020-01-20,Gyeonggi-do,Dongducheon,male,All,0,0,0.0,0.0,0.0,0.0
470736,2020-01-20,Seoul,Dongjak,male,All,0,0,0.0,0.0,0.0,0.0
470595,2020-01-20,Busan,Dongnae,male,All,0,0,0.0,0.0,0.0,0.0
470610,2020-01-20,Chungcheongbuk-do,Eumseong,male,All,0,0,0.0,0.0,0.0,0.0
470737,2020-01-20,Seoul,Eunpyeong,male,All,0,0,0.0,0.0,0.0,0.0
470738,2020-01-20,Seoul,Gangbuk,male,All,0,0,0.0,0.0,0.0,0.0
470739,2020-01-20,Seoul,Gangdong,male,All,0,0,0.0,0.0,0.0,0.0
470715,2020-01-20,Incheon,Ganghwa,male,All,0,0,0.0,0.0,0.0,0.0
470740,2020-01-20,Seoul,Gangnam,male,All,0,0,0.0,0.0,0.0,0.0
470638,2020-01-20,Gangwon-do,Gangneung,male,All,0,0,0.0,0.0,0.0,0.0
470596,2020-01-20,Busan,Gangseo,male,All,0,0,0.0,0.0,0.0,0.0
470741,2020-01-20,Seoul,Gangseo,male,All,0,0,0.0,0.0,0.0,0.0
470656,2020-01-20,Gyeonggi-do,Gapyeong,male,All,0,0,0.0,0.0,0.0,0.0
470700,2020-01-20,Gyeongsangnam-do,Geochang,male,All,0,0,0.0,0.0,0.0,0.0
470701,2020-01-20,Gyeongsangnam-do,Geoje,male,All,0,0,0.0,0.0,0.0,0.0
470742,2020-01-20,Seoul,Geumcheon,male,All,0,0,0.0,0.0,0.0,0.0
470597,2020-01-20,Busan,Geumjeong,male,All,0,0,0.0,0.0,0.0,0.0
470598,2020-01-20,Busan,Gijang,male,All,0,0,0.0,0.0,0.0,0.0
470684,2020-01-20,Gyeongsangbuk-do,Gimcheon,male,All,0,0,0.0,0.0,0.0,0.0
470702,2020-01-20,Gyeongsangnam-do,Gimhae,male,All,0,0,0.0,0.0,0.0,0.0
470723,2020-01-20,Jeollabuk-do,Gimje,male,All,0,0,0.0,0.0,0.0,0.0
470657,2020-01-20,Gyeonggi-do,Gimpo,male,All,0,0,0.0,0.0,0.0,0.0
470611,2020-01-20,Chungcheongbuk-do,Goesan,male,All,0,0,0.0,0.0,0.0,0.0
470685,2020-01-20,Gyeongsangbuk-do,Goryeong,male,All,0,0,0.0,0.0,0.0,0.0
470646,2020-01-20,Gangwon-do,Goseong,male,All,0,0,0.0,0.0,0.0,0.0
470703,2020-01-20,Gyeongsangnam-do,Goseong,male,All,0,0,0.0,0.0,0.0,0.0
470658,2020-01-20,Gyeonggi-do,Goyang,male,All,0,0,0.0,0.0,0.0,0.0
470686,2020-01-20,Gyeongsangbuk-do,Gumi,male,All,0,0,0.0,0.0,0.0,0.0
470659,2020-01-20,Gyeonggi-do,Gunpo,male,All,0,0,0.0,0.0,0.0,0.0
470724,2020-01-20,Jeollabuk-do,Gunsan,male,All,0,0,0.0,0.0,0.0,0.0
470660,2020-01-20,Gyeonggi-do,Guri,male,All,0,0,0.0,0.0,0.0,0.0
470743,2020-01-20,Seoul,Guro,male,All,0,0,0.0,0.0,0.0,0.0
470661,2020-01-20,Gyeonggi-do,Gwacheon,male,All,0,0,0.0,0.0,0.0,0.0
470744,2020-01-20,Seoul,Gwanak,male,All,0,0,0.0,0.0,0.0,0.0
470745,2020-01-20,Seoul,Gwangjin,male,All,0,0,0.0,0.0,0.0,0.0
470662,2020-01-20,Gyeonggi-do,Gwangju,male,All,0,0,0.0,0.0,0.0,0.0
470663,2020-01-20,Gyeonggi-do,Gwangmyeong,male,All,0,0,0.0,0.0,0.0,0.0
470728,2020-01-20,Jeollanam-do,Gwangyang,male,All,0,0,0.0,0.0,0.0,0.0
470687,2020-01-20,Gyeongsangbuk-do,Gyeongju,male,All,0,0,0.0,0.0,0.0,0.0
470688,2020-01-20,Gyeongsangbuk-do,Gyeongsan,male,All,0,0,0.0,0.0,0.0,0.0
470617,2020-01-20,Chungcheongnam-do,Gyeryong,male,All,0,0,0.0,0.0,0.0,0.0
470716,2020-01-20,Incheon,Gyeyang,male,All,0,0,0.0,0.0,0.0,0.0
470599,2020-01-20,Busan,Haeundae,male,All,0,0,0.0,0.0,0.0,0.0
