date,province,count,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity
2020-01-20,Incheon,1,14000.0,1.2,-2.1,5.1,0.0,8.6,320.0,56.0
2020-01-23,Seoul,1,10000.0,4.6,0.0,9.9,0.0,4.7,290.0,49.3
2020-01-26,Gyeonggi-do,1,20000.0,5.3,-2.7,11.9,0.0,5.2,90.0,74.3
2020-01-27,Gyeonggi-do,1,20000.0,5.9,3.5,8.1,1.4,5.0,70.0,71.5
2020-01-30,Seoul,3,10000.0,5.2,1.4,10.4,0.0,3.0,70.0,47.0
2020-01-31,Jeollabuk-do,1,50000.0,4.2,1.8,8.8,0.0,4.8,270.0,68.3
2020-01-31,Seoul,3,10000.0,3.9,1.4,8.9,0.0,4.4,270.0,59.6
2020-02-01,Gyeonggi-do,1,20000.0,1.9,-2.2,7.7,0.0,4.7,140.0,91.3
2020-02-02,Gyeonggi-do,2,20000.0,1.0,-3.5,5.8,0.0,3.4,250.0,79.8
2020-02-02,Seoul,1,10000.0,1.5,-2.1,5.3,0.0,4.7,290.0,52.3
2020-02-03,Gwangju,1,13000.0,2.0,-1.3,6.6,0.0,3.6,50.0,65.8
2020-02-05,Gwangju,1,13000.0,-1.7,-5.6,2.0,0.0,5.1,20.0,44.5
2020-02-05,Gyeonggi-do,2,20000.0,-7.2,-9.9,-2.4,0.0,6.2,320.0,58.9
2020-02-05,Seoul,2,10000.0,-8.3,-11.0,-4.9,0.0,5.5,320.0,37.3
2020-02-06,Jeollanam-do,1,51000.0,0.0,-4.8,4.6,0.0,8.3,70.0,32.0
2020-02-06,Seoul,1,10000.0,-6.4,-11.8,0.4,0.0,4.0,290.0,36.4
2020-02-07,Seoul,1,10000.0,-1.7,-7.2,2.2,0.0,3.5,290.0,45.1
2020-02-09,Gyeonggi-do,3,20000.0,-0.9,-7.0,3.9,0.0,5.3,290.0,76.1
2020-02-10,Gyeonggi-do,1,20000.0,3.2,-1.9,10.5,0.0,4.5,250.0,72.5
2020-02-16,Seoul,2,10000.0,-1.4,-4.3,7.7,13.4,6.6,270.0,81.1
2020-02-18,Daegu,6,12000.0,-0.2,-5.4,5.3,0.0,6.2,320.0,44.8
2020-02-18,Gyeonggi-do,1,20000.0,-3.6,-7.9,1.5,0.0,4.2,320.0,68.9
2020-02-18,Gyeongsangbuk-do,2,60000.0,-0.8,-6.2,5.0,0.0,10.6,290.0,42.5
2020-02-19,Daegu,20,12000.0,4.7,-0.6,11.4,0.0,4.2,290.0,43.8
2020-02-19,Gyeongsangbuk-do,6,60000.0,3.8,-1.1,11.2,0.0,10.0,180.0,43.3
2020-02-19,Seoul,2,10000.0,1.0,-4.4,6.4,0.0,3.2,50.0,56.8
2020-02-20,Chungcheongbuk-do,1,40000.0,2.5,-3.6,11.0,0.0,1.8,90.0,72.6
2020-02-20,Daegu,18,12000.0,6.1,-0.3,14.4,0.0,2.9,110.0,53.3
2020-02-20,Gwangju,1,13000.0,7.6,1.2,14.3,0.0,3.2,20.0,62.6
2020-02-20,Gyeongsangbuk-do,12,60000.0,5.8,1.0,12.2,0.0,4.6,180.0,54.8
2020-02-20,Gyeongsangnam-do,3,61000.0,7.1,2.2,14.0,0.0,4.3,50.0,46.9
2020-02-20,Jeju-do,1,70000.0,10.0,6.7,13.2,0.0,4.9,180.0,59.5
2020-02-20,Jeollabuk-do,1,50000.0,5.9,-0.1,12.5,0.0,2.7,140.0,69.9
2020-02-20,Seoul,5,10000.0,4.6,-0.6,10.8,0.0,3.3,50.0,62.6
2020-02-21,Busan,2,11000.0,11.0,5.5,16.0,4.1,5.2,50.0,63.3
2020-02-21,Chungcheongnam-do,1,41000.0,6.2,-0.4,13.2,3.5,5.5,180.0,79.0
2020-02-21,Daegu,1,12000.0,8.3,-0.8,16.7,0.0,4.3,180.0,56.5
2020-02-21,Daejeon,1,15000.0,7.3,0.2,14.9,2.3,1.9,70.0,71.0
2020-02-21,Gwangju,3,13000.0,9.3,1.8,17.0,3.0,5.2,180.0,69.8
2020-02-21,Gyeonggi-do,2,20000.0,6.5,0.4,11.9,5.1,4.9,160.0,88.5
2020-02-21,Gyeongsangbuk-do,22,60000.0,8.3,-0.2,15.2,0.0,5.7,180.0,60.1
2020-02-21,Gyeongsangnam-do,1,61000.0,8.6,2.9,14.7,1.8,4.8,140.0,62.5
2020-02-21,Jeollabuk-do,1,50000.0,9.2,2.0,16.8,1.9,3.9,140.0,63.8
2020-02-21,Sejong,1,,,,,,,,
2020-02-21,Seoul,2,10000.0,6.7,2.1,10.9,4.2,5.3,200.0,66.3
2020-02-22,Busan,14,11000.0,9.5,5.1,12.9,0.7,14.2,270.0,44.0
2020-02-22,Chungcheongbuk-do,2,40000.0,4.8,1.0,9.1,3.8,9.3,270.0,63.6
2020-02-22,Daejeon,1,15000.0,6.3,1.6,10.4,1.2,5.9,230.0,59.1
2020-02-22,Gangwon-do,6,30000.0,6.2,2.7,8.8,0.0,8.1,250.0,48.9
2020-02-22,Gwangju,2,13000.0,7.2,3.3,11.4,2.1,4.4,290.0,62.4
2020-02-22,Gyeonggi-do,7,20000.0,4.4,0.4,8.0,4.5,8.4,270.0,82.8
2020-02-22,Gyeongsangbuk-do,29,60000.0,7.9,2.7,11.1,0.0,9.9,270.0,44.3
2020-02-22,Gyeongsangnam-do,4,61000.0,8.5,3.6,12.4,0.2,5.2,290.0,41.0
2020-02-22,Incheon,1,14000.0,4.0,0.6,6.9,1.1,9.9,320.0,69.1
2020-02-22,Jeju-do,1,70000.0,10.8,7.6,14.3,0.0,7.8,320.0,58.3
2020-02-22,Seoul,4,10000.0,4.0,0.0,7.9,3.1,8.2,270.0,62.0
2020-02-22,Ulsan,1,16000.0,9.6,4.0,14.0,1.1,5.3,250.0,43.1
2020-02-23,Busan,22,11000.0,6.0,1.1,11.7,0.0,7.4,270.0,40.5
2020-02-23,Daejeon,1,15000.0,3.7,-1.9,9.8,0.0,4.2,140.0,52.3
2020-02-23,Gwangju,1,13000.0,5.0,0.6,11.2,0.0,3.0,250.0,52.5
2020-02-23,Gyeonggi-do,4,20000.0,2.2,-3.5,7.8,0.0,4.2,290.0,76.5
2020-02-23,Gyeongsangbuk-do,34,60000.0,5.2,-0.5,10.5,0.0,11.5,270.0,34.8
2020-02-23,Gyeongsangnam-do,9,61000.0,4.9,-0.8,10.5,0.0,3.9,90.0,43.4
2020-02-23,Seoul,4,10000.0,2.5,-2.5,8.0,0.0,4.2,270.0,48.6
2020-02-24,Busan,6,11000.0,10.8,5.5,15.7,0.0,7.6,230.0,46.9
2020-02-24,Daegu,1,12000.0,8.1,-1.2,16.4,0.0,2.8,290.0,40.3
2020-02-24,Gyeonggi-do,12,20000.0,7.0,-0.7,13.7,0.0,2.9,140.0,70.6
2020-02-24,Gyeongsangbuk-do,29,60000.0,9.3,3.9,15.8,0.0,6.4,180.0,37.6
2020-02-24,Gyeongsangnam-do,6,61000.0,8.4,0.1,15.9,0.2,4.1,160.0,54.8
2020-02-24,Seoul,2,10000.0,7.0,0.8,12.2,0.0,3.4,50.0,51.8
2020-02-24,Ulsan,1,16000.0,10.8,2.1,19.0,0.0,4.2,200.0,31.9
2020-02-25,Busan,11,11000.0,9.7,7.9,12.7,49.8,5.9,50.0,94.3
2020-02-25,Chungcheongbuk-do,3,40000.0,6.1,3.7,7.9,29.4,5.8,90.0,81.9
2020-02-25,Chungcheongnam-do,3,41000.0,6.6,5.1,7.9,40.8,5.1,50.0,90.1
2020-02-25,Daegu,1,12000.0,7.0,5.7,9.8,29.0,6.5,140.0,96.4
2020-02-25,Gyeonggi-do,7,20000.0,6.8,5.6,8.3,22.6,4.9,70.0,92.8
2020-02-25,Gyeongsangbuk-do,53,60000.0,6.6,5.5,9.7,33.3,8.8,20.0,92.0
2020-02-25,Gyeongsangnam-do,5,61000.0,8.1,7.1,10.0,25.8,3.0,20.0,93.3
2020-02-25,Incheon,1,14000.0,7.0,5.1,9.9,17.5,7.4,70.0,77.5
2020-02-25,Seoul,8,10000.0,6.7,4.7,9.4,16.6,6.8,70.0,73.5
2020-02-25,Ulsan,2,16000.0,7.9,7.3,11.5,29.9,4.0,340.0,96.4
2020-02-26,Busan,5,11000.0,9.5,6.8,14.1,1.8,4.5,50.0,79.3
2020-02-26,Chungcheongbuk-do,1,40000.0,6.4,0.2,11.9,0.0,2.8,230.0,73.9
2020-02-26,Chungcheongnam-do,5,41000.0,5.4,0.4,11.6,0.0,5.8,20.0,74.5
2020-02-26,Daegu,1,12000.0,8.3,5.9,13.5,0.2,6.7,110.0,82.8
2020-02-26,Daejeon,5,15000.0,8.0,4.2,14.7,0.0,4.2,270.0,76.1
